Date,ARKK,BTC-USD,GLD,KRE,QQQ,SMH,SPY,TLT,XLE,XLF,XLK,XLU
2000-01-03,,,,,79.92742919921875,,91.36753845214844,,6.655916213989258,11.090899467468262,20.626386642456055,5.513055801391602
2000-01-04,,,,,74.44427490234375,,87.79448699951172,,6.530629634857178,10.606056213378906,19.579959869384766,5.346750259399414
2000-01-05,,,,,72.54624938964844,,87.95160675048828,,6.702900409698486,10.522723197937012,19.289278030395508,5.481679439544678
2000-01-06,,,,,67.56397247314453,,86.53800201416016,,6.961306095123291,10.984841346740723,18.649791717529297,5.472261905670166
2000-01-07,,,,,75.92047882080078,,91.5638427734375,,7.035695552825928,11.166662216186523,18.9753475189209,5.5193305015563965
2000-01-10,,,,,78.02941131591797,,91.87797546386719,,6.976963996887207,10.969693183898926,19.69622039794922,5.538159370422363
2000-01-11,,,,,74.23338317871094,,90.7785873413086,,6.984799385070801,10.787877082824707,19.13812255859375,5.478539943695068
2000-01-12,,,,,72.5989990234375,,89.87548065185547,,6.9534759521484375,10.999994277954102,19.056730270385742,5.422060012817383
2000-01-13,,,,,76.97492980957031,,91.09266662597656,,7.074845314025879,11.333329200744629,19.23113441467285,5.371854782104492
2000-01-14,,,,,78.76750183105469,,92.3294906616211,,7.03178071975708,11.598474502563477,19.672969818115234,5.4157867431640625
2000-01-18,,,,,79.18929290771484,,91.60310363769531,,7.117918968200684,11.212115287780762,19.777612686157227,5.393822193145752
2000-01-19,,,,,80.98184204101562,,92.34912109375,,7.094426155090332,11.174236297607422,19.8124942779541,5.396955966949463
2000-01-20,,,,,80.19100952148438,,90.93561553955078,,7.094426155090332,10.969693183898926,19.92877197265625,5.422060012817383
2000-01-21,,,,,81.1927490234375,,90.73928833007812,,7.290191173553467,10.833329200744629,19.952014923095703,5.597777843475342
2000-01-24,,,,,77.29130554199219,,88.16751861572266,,7.03178071975708,10.63635540008545,19.300899505615234,5.522469520568848
2000-01-25,,,,,78.45117950439453,,89.1687240600586,,7.016122817993164,10.749999046325684,19.713659286499023,5.393822193145752
2000-01-26,,,,,75.28781127929688,,88.46194458007812,,6.906492233276367,11.151506423950195,19.068363189697266,5.368717193603516
2000-01-27,,,,,76.39498138427734,,88.10859680175781,,6.765542030334473,11.272712707519531,18.882328033447266,5.334199905395508
2000-01-28,,,,,72.54624938964844,,85.36012268066406,,6.687238693237305,10.87878704071045,18.207963943481445,5.305963516235352
2000-01-31,,,,,75.65685272216797,,87.67671966552734,,6.84384822845459,11.181807518005371,18.81256675720215,5.550707817077637
2000-02-01,,,,,77.68670654296875,,88.54048156738281,,6.828189373016357,11.242415428161621,19.207889556884766,5.509916305541992
2000-02-02,,,,,78.34574127197266,,88.6190414428711,,6.871259689331055,11.128783226013184,19.347408294677734,5.481679439544678
2000-02-03,,,,,81.40364837646484,,89.95403289794922,,6.789034366607666,11.06059741973877,19.9055118560791,5.472261905670166
2000-02-04,,,,,81.9572525024414,,89.58103942871094,,6.593271732330322,10.946965217590332,20.1380558013916,5.444024085998535
2000-02-07,,,,,83.0907974243164,,89.4435806274414,,6.667664527893066,10.833329200744629,20.370594024658203,5.428338050842285
2000-02-08,,,,,86.57048034667969,,90.66078186035156,,6.608935832977295,10.95454216003418,20.556621551513672,5.440887928009033
2000-02-09,,,,,83.51251983642578,,88.7564697265625,,6.389682292938232,10.696962356567383,20.300832748413086,5.440887928009033
2000-02-10,,,,,86.2541275024414,,88.93315124511719,,6.522794246673584,10.401511192321777,20.783357620239258,5.3624444007873535
2000-02-11,,,,,84.25067138671875,,87.12701416015625,,6.444492340087891,10.424237251281738,20.231060028076172,5.268311023712158
2000-02-14,,,,,84.14521789550781,,87.63744354248047,,6.546290397644043,10.515148162841797,20.242700576782227,5.274585247039795
2000-02-15,,,,,84.75154876708984,,88.62886810302734,,6.820354461669922,10.530294418334961,20.300832748413086,5.2620344161987305
2000-02-16,,,,,84.35611724853516,,87.3233413696289,,6.851679801940918,10.310602188110352,20.19618797302246,5.2400689125061035
2000-02-17,,,,,86.14867401123047,,86.8718032836914,,6.84384822845459,10.181814193725586,20.649642944335938,5.2086920738220215
2000-02-18,,,,,83.03804779052734,,85.00678253173828,,6.644171237945557,9.8181791305542,19.952014923095703,5.017287731170654
2000-02-22,,,,,83.30162811279297,,84.79078674316406,,6.585443496704102,9.909088134765625,19.9055118560791,4.9984612464904785
2000-02-23,,,,,87.94129180908203,,85.79203033447266,,6.413172721862793,9.87120246887207,20.51011848449707,4.894918441772461
2000-02-24,,,,,89.83922576904297,,84.06439208984375,,6.342696666717529,9.66666030883789,20.765914916992188,4.731751441955566
2000-02-25,,,,,87.7830810546875,,83.76016235351562,,6.217409133911133,9.606056213378906,20.568260192871094,4.706646919250488
2000-02-28,,,,,87.7303695678711,,85.51719665527344,,6.405341148376465,9.916664123535156,20.32408332824707,4.841574668884277
2000-02-29,,,,,90.0501480102539,,86.34175109863281,,6.554120063781738,9.984843254089355,20.789167404174805,4.876089096069336
2000-03-01,,,,,90.78823852539062,,86.9699478149414,,6.718561172485352,10.121206283569336,20.998456954956055,5.08945894241333
2000-03-02,,,,,88.6859359741211,,87.02884674072266,,6.84384822845459,10.060604095458984,21.20773696899414,5.221242904663086
2000-03-03,,,,,93.68800354003906,,88.65830993652344,,6.734224796295166,10.151508331298828,21.794897079467773,5.268311023712158
2000-03-06,,,,,94.42611694335938,,87.79448699951172,,6.695069313049316,10.05302619934082,21.760019302368164,5.120833396911621
2000-03-07,,,,,93.00260925292969,,86.09634399414062,,7.15706729888916,9.749993324279785,21.161237716674805,5.061216354370117
2000-03-08,,,,,93.84619140625,,85.98837280273438,,7.039612293243408,9.63635540008545,21.53329086303711,5.095730781555176
2000-03-09,,,,,97.0094985961914,,88.50129699707031,,7.0474419593811035,9.689387321472168,22.184412002563477,5.136523246765137
2000-03-10,,,,,96.5877456665039,,88.03012084960938,,6.9534759521484375,9.71969223022461,22.230918884277344,5.136523246765137
2000-03-13,,,,,94.05706787109375,,87.068115234375,,6.851679801940918,9.8181791305542,21.90535545349121,5.1522111892700195
2000-03-14,,,,,90.57737731933594,,85.83132934570312,,6.937813758850098,9.780298233032227,21.405393600463867,5.117697238922119
2000-03-15,,,,,86.78135681152344,,87.83375549316406,,6.906492233276367,10.378786087036133,21.033340454101562,5.145936012268066
2000-03-16,,,,,91.73725128173828,,91.93682098388672,,7.204052448272705,11.272712707519531,21.76583480834961,5.346750259399414
2000-03-17,,,,,93.47713470458984,,92.54449462890625,,6.984626770019531,11.276068687438965,22.277420043945312,5.389771461486816
2000-03-20,,,,,90.84097290039062,,92.07210540771484,,6.874636173248291,11.063166618347168,22.184412002563477,5.367641925811768
2000-03-21,,,,,94.2679672241211,,93.96157836914062,,7.0946221351623535,11.46615219116211,22.765758514404297,5.3328680992126465
2000-03-22,,,,,96.16594696044922,,94.5323715209961,,7.039623737335205,11.564996719360352,23.161083221435547,5.209586143493652
2000-03-23,,,,,97.85308837890625,,96.14627075195312,,7.031768321990967,11.967991828918457,23.6029052734375,5.298095703125
2000-03-24,,,,,99.17115020751953,,96.71705627441406,,7.047480583190918,12.104851722717285,23.80638313293457,5.247518539428711
2000-03-27,,,,,99.32929992675781,,95.69357299804688,,7.071049690246582,11.70947265625,23.99822425842285,5.320225715637207
