episode,ticker,asset_name,group,start_value,end_value,min_value,max_drawdown,volatility,total_return_pct,volatility_pct
COVID Crash,XLE,Energy,Old money,100.0,71.45522470514116,43.719228273256675,-56.280771726743325,0.05417098853686255,-28.544775294858837,5.417098853686255
COVID Crash,XLF,Financials,Old money,100.0,75.44195293601388,57.210880674997824,-42.789119325002176,0.04370073146520137,-24.558047063986123,4.370073146520137
COVID Crash,XLK,Technology,New money,100.0,102.4662790457477,68.84678655643769,-31.15321344356231,0.03733043875231777,2.4662790457476973,3.733043875231777
COVID Crash,XLU,Utilities,Old money,100.0,81.85556540128444,64.63439118525518,-35.59493158745296,0.03802733604719463,-18.144434598715563,3.8027336047194633
Dot-Com Crash,QQQ,Nasdaq 100,New money,100.0,17.519653910138185,17.519653910138185,-82.96390010515167,0.03298211322090788,-82.48034608986181,3.298211322090788
Dot-Com Crash,SMH,Semiconductors,New money,100.0,17.905002828171963,17.905002828171963,-83.08079152692484,0.039894336660759054,-82.09499717182804,3.9894336660759055
Dot-Com Crash,SPY,S&P 500,Baseline,100.0,57.663349246733745,57.663349246733745,-47.51585916365344,0.014961178244864126,-42.336650753266255,1.4961178244864126
Dot-Com Crash,TLT,Long Bonds,Old money,100.0,111.48504218199966,100.0,-1.9819950350636661,0.007152388151782771,11.48504218199966,0.7152388151782771
Dot-Com Crash,XLE,Energy,Old money,100.0,77.2948197619941,74.4326074219393,-41.53253986474541,0.017284952000771243,-22.705180238005894,1.7284952000771243
Dot-Com Crash,XLF,Financials,Old money,100.0,96.83162091697707,96.83162091697707,-36.64444999534893,0.018769660319706734,-3.168379083022927,1.8769660319706734
Dot-Com Crash,XLK,Technology,New money,100.0,19.38074175721408,19.38074175721408,-82.04651755554234,0.02831964298236233,-80.61925824278592,2.8319642982362327
Dot-Com Crash,XLU,Utilities,Old money,100.0,65.62029860556049,65.62029860556049,-52.27240133543689,0.015591000020008693,-34.37970139443951,1.5591000020008694
Global Financial Crisis,GLD,Gold,Old money,100.0,123.91572613593328,95.77234027539726,-29.414136036638318,0.019505577950369165,23.915726135933284,1.9505577950369164
Global Financial Crisis,KRE,Regional Banks,Old money,100.0,34.01447842028697,34.01447842028697,-65.98552157971302,0.03899376941867773,-65.98552157971304,3.899376941867773
Global Financial Crisis,QQQ,Nasdaq 100,New money,100.0,48.44479524025225,48.03628050053474,-53.40401899172307,0.023540347116960993,-51.55520475974775,2.3540347116960993
Global Financial Crisis,SMH,Semiconductors,New money,100.0,41.48630493698394,38.33115630643167,-61.668843693568334,0.028182376283492218,-58.51369506301606,2.818237628349222
Global Financial Crisis,SPY,S&P 500,Baseline,100.0,44.81056071513414,44.81056071513414,-55.18943928486586,0.024024590708020453,-55.18943928486586,2.4024590708020455
Global Financial Crisis,TLT,Long Bonds,Old money,100.0,125.07452965533116,99.46649725807492,-16.193106555511726,0.011121576222567714,25.074529655331162,1.1121576222567713
Global Financial Crisis,XLE,Energy,Old money,100.0,52.08389147638282,51.09205647258804,-57.359401199895444,0.03547809646560252,-47.91610852361718,3.5478096465602524
Global Financial Crisis,XLF,Financials,Old money,100.0,18.439302518032374,18.203659738368554,-81.79634026163146,0.04427967896394588,-81.56069748196762,4.427967896394588
Global Financial Crisis,XLK,Technology,New money,100.0,48.60643151019562,48.23804730981415,-53.03583457229537,0.024016574904616967,-51.39356848980438,2.4016574904616967
Global Financial Crisis,XLU,Utilities,Old money,100.0,57.52424328387647,57.52424328387647,-46.48094254384352,0.021010561824816212,-42.47575671612353,2.101056182481621
Regional Banking Crisis,ARKK,Innovation Stocks,New money,100.0,102.1958608160992,87.73346415225349,-13.83243133253097,0.02426514608421657,2.1958608160991986,2.426514608421657
Regional Banking Crisis,BTC-USD,Bitcoin,New money,100.0,121.35511417762883,90.00206025129145,-13.615829604531527,0.026440139156510018,21.355114177628835,2.644013915651002
Regional Banking Crisis,GLD,Gold,Old money,100.0,106.23471187009703,98.20533625528216,-5.3770244496371795,0.010366539193764394,6.23471187009703,1.0366539193764395
Regional Banking Crisis,KRE,Regional Banks,Old money,100.0,65.57381321770791,60.71087272833257,-39.28912727166743,0.03374746464089673,-34.42618678229209,3.374746464089673
Regional Banking Crisis,QQQ,Nasdaq 100,New money,100.0,116.16849736334058,96.17691642525801,-3.823083574741981,0.011381012782263401,16.168497363340578,1.13810127822634
Regional Banking Crisis,SMH,Semiconductors,New money,100.0,118.89776751670875,97.84990256019194,-9.12268418506491,0.020004814018619727,18.897767516708754,2.0004814018619728
Regional Banking Crisis,SPY,S&P 500,Baseline,100.0,103.70232927286528,95.27531805670509,-4.724681943294906,0.009200454655557284,3.702329272865285,0.9200454655557284
Regional Banking Crisis,TLT,Long Bonds,Old money,100.0,102.38546057573252,99.69137464458309,-7.3683867509901635,0.011292074494962362,2.385460575732523,1.1292074494962363
Regional Banking Crisis,XLE,Energy,Old money,100.0,88.64757615488587,88.16725283922567,-12.197621319861963,0.017164507246321316,-11.352423845114131,1.7164507246321317
Regional Banking Crisis,XLF,Financials,Old money,100.0,88.61084837607031,86.00777745369548,-13.992222546304522,0.014465399248106128,-11.389151623929692,1.4465399248106128
Regional Banking Crisis,XLK,Technology,New money,100.0,116.92540192926045,96.42071183057989,-4.6619190318959784,0.01259469771079297,16.925401929260445,1.259469771079297
Regional Banking Crisis,XLU,Utilities,Old money,100.0,98.25534539234305,96.39404805025084,-8.04631965789705,0.010784359244984217,-1.7446546076569547,1.0784359244984216
